1;"American History X";;
2;"Braveheart";;
3;"C'est arrivé près de chez vous";;
4;"Die hard 1 - Piège de Cristal";;
5;"Die hard 2 - 58 minute pour vivre";;
6;"Die hard 3 - Une journée en enfer";;
7;"Die Hard 4.0";;
8;"Fight Club";;
9;"Hooligans";;
10;"Hooligans 2005";;
11;"Il était une fois dans le bronx";;
12;"L'effet papillon";;
13;"Legendes d'automne";;
14;"OngBak";;
15;"Orange mecanique";;
16;"Sleepers";;
17;"The crow";;
18;"the day after";;
19;"The Patriot";;
20;"Trainspotting";;
21;"Underworld 1 et 2";;
